root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um,relative_caliber
720575941561868544,ascending_neuron,AN10B027,AN10B027,left,isomorphic,3,0.1315685240197261,0.4092899310077801,1.095309938694545
720575941561890931,sensory_ascending,SApp10,,left,isomorphic,3,0.2290142178382342,0.5399907021960958,1.522133051211495
720575941561955699,descending_neuron,DNde006,DNde006,right,isomorphic,3,0.2722723646303408,0.5887851404255218,1.249188633712303
720575941562036743,descending_neuron,DNpe004,DNpe004,right,isomorphic,3,0.1612889893578622,0.4531661057281302,0.9614542039055677
720575941562059176,descending_neuron,DNg82,auto:DNg01_b,right,isomorphic,3,0.2479806100327237,0.5619063258419619,1.192161532720628
720575941562066088,ascending_neuron,AN07B071,auto:AN07B071_c,right,isomorphic,3,0.05480925262626239,0.2641690895262669,0.7069488089813505
720575941562120960,sensory_ascending,SApp22,auto:SApp09,right,isomorphic,3,0.06132589559210055,0.27943255963499,0.7876682559074638
720575941562127405,sensory_ascending,SApp07,auto:SApp06,left,isomorphic,3,0.06296108063729855,0.2831334272859139,0.7981003113979027
720575941562217517,descending_neuron,DNp24,DNp24,right,isomorphic,3,0.1986536611446188,0.5029251406280538,1.067024838342021
720575941562287202,ascending_neuron,AN03A002,AN03A002,left,isomorphic,3,0.04456877480158836,0.238215714296472,0.637494401046446
720575941562316039,sensory_ascending,SApp02,auto:SApp09,right,isomorphic,3,0.164708093890044,0.4579441652415238,1.290859169775945
720575941562404008,descending_neuron,DNge088,auto:DNg36_b,right,isomorphic,3,0.5639977654326204,0.8474103245129119,1.797897522867067
720575941562409479,ascending_neuron,AN07B082,auto:AN07B082_a,right,isomorphic,3,0.06237857254776191,0.281820626129355,0.7541864808854398
720575941562443362,ascending_neuron,AN10B020,AN10B020,left,isomorphic,3,0.1090476715653966,0.3726175085773012,0.9971700487998564
720575941562502445,ascending_neuron,AN09B018_b,AN09B018,right,isomorphic,3,0.1370852639229029,0.417782693546653,1.11803761047698
720575941562504546,ascending_neuron,AN10B029,AN10B029,left,isomorphic,3,0.08378860491101227,0.3266235833048368,0.8740846766616719
720575941562512018,ascending_neuron,AN09B033,AN09B033,right,isomorphic,3,0.03375006286324761,0.2072966827394604,0.5547512891506362
720575941562682624,ascending_neuron,AN19B060,auto:AN19B059,right,isomorphic,3,0.06824498289275625,0.2947748478904398,0.7888535634790248
720575941562771624,descending_neuron,DNpe009,DNpe009,right,isomorphic,3,0.09050195735082389,0.3394564345759322,0.7202035014102023
720575941562840365,ascending_neuron,AN27X008,AN27X008,right,isomorphic,12,0.2069765334559762,0.4632393862308119,1.239685282469664
720575941562921773,ascending_neuron,AN08B012,AN08B012,left,isomorphic,3,0.567690168139803,0.8501797287826561,2.27518498761841
720575941562932781,descending_neuron,DNd02,DNd02,right,isomorphic,3,0.580188054105659,0.8594872738268259,1.823520431424096
720575941562981522,descending_neuron,DNg08_a,auto:DNg08,left,isomorphic,3,0.111286502867541,0.3764231345789421,0.7986334384093576
720575941563064071,descending_neuron,DNg12_b,auto:DNg12_e,right,isomorphic,3,0.1943606239684601,0.497461186803598,1.055432309006606
720575941563084690,ascending_neuron,AN07B042,AN07B042,left,isomorphic,3,0.07412069132478688,0.3072025313662424,0.8221115651906227
720575941563183016,descending_neuron,DNg74_b,DNg74_b,right,isomorphic,3,1.310955164973212,1.291959735215731,2.741070223475855
720575941563218944,descending_neuron,DNae010,DNae010,right,isomorphic,3,0.6746020989664087,0.9267848020794123,1.966301391061269
720575941563334912,descending_neuron,DNp17,DNp17,right,isomorphic,3,0.05684798969387888,0.2690373738292574,0.5707997813742859
720575941563338664,ascending_neuron,AN08B028,AN08B028,right,isomorphic,3,0.1327436198247363,0.4111136413111888,1.100190410627252
720575941563345576,ascending_neuron,AN05B102,auto:AN05B102b,right,dimorphic,3,0.1847814581039309,0.4850474817909568,1.298046414765814
720575941563391383,descending_neuron,DNg82,DNg82,left,isomorphic,3,0.3848620970442055,0.7000154578481708,1.485179046357849
720575941563424054,sensory_ascending,SAxxxx,auto:LgAG2,left,isomorphic,3,0.04287722120535295,0.2336513933341988,0.6586196888376213
720575941563466152,ascending_neuron,AN27X009,AN27X009,left,isomorphic,3,0.5649264571710606,0.8481077202439143,2.269640039224601
720575941563483816,ascending_neuron,AN19B019,AN19B019,right,isomorphic,3,0.5718299241217897,0.8532739725637775,2.283465562608029
720575941563541351,ascending_neuron,AN10B019,AN10B019,right,isomorphic,3,0.533935281588089,0.8245165340047823,2.206507138081172
720575941563548160,ascending_neuron,AN10B034,auto:AN10B046,left,dimorphic,3,0.02665665791202645,0.1842289634777049,0.4930192496934132
720575941563551656,ascending_neuron,ANXXX109,ANXXX109,left,isomorphic,3,0.2884416880583061,0.6060159763455081,1.621772908667758
720575941563563879,sensory_ascending,SApp10,auto:SApp19,right,isomorphic,3,0.09320161309523753,0.344482190288501,0.971031029348057
