bodyId,superclass,type,instance,somaSide,subclass,somaNeuromere,dimorphism,neck_area_um2,neck_diameter_um,diameter_cv_across_slabs,n_slabs,path_neck_to_brain_arbor_um,path_neck_to_vnc_arbor_um,model_velocity_m_per_s,model_arbor_to_arbor_delay_ms
10001.0,descending_neuron,DNp01,DNp01(GF)_R,R,lt,,,78.29286400000001,9.984266148063764,0.359648815351613,3,0.0,244.86947543992594,2.2118522583010023,0.11070788047480999
10010.0,descending_neuron,DNp01,DNp01(GF)_L,L,lt,,,83.234048,10.294507340421138,0.019014565967651095,3,16.734993303499245,30.33676300789137,2.245953827843831,0.02095847017326292
10026.0,descending_neuron,DNp18,DNp18_R,R,xn,,,11.072512000000001,3.754725041591545,0.6074918868684115,3,223.77168175379313,164.5287921501766,1.3563979026745274,0.2862732780243349
10030.0,descending_neuron,pIP1,pIP1_L,L,xl,,male-specific,8.067584,3.2049909483916927,0.022775096222058342,3,54.72119859114326,146.90459289916993,1.2531741956774922,0.1608920708595584
10033.0,descending_neuron,DNg56,DNg56_R,R,xn,LB,,0.847232,1.038618932027075,0.0354093740836439,3,181.16856274498912,181.2607462264007,0.7133885874425429,0.5080391183025201
10038.0,descending_neuron,pIP1,pIP1_R,R,xl,,male-specific,6.5936639999999995,2.8974667814310884,0.034570005420991874,3,179.342580954845,155.55482510376095,1.1915362868587902,0.2810635393584911
10045.0,descending_neuron,DNg100,DNg100_L,L,xl,,,3.0951167703817664,1.9851511447804289,0.1531167647116064,3,166.96209299631732,114.12416959486278,0.9862677430304664,0.2849999552124632
10048.0,descending_neuron,DNp18,DNp18_L,L,xn,,,9.498880000000002,3.4776931501634736,0.4466965696436936,3,225.48404971900183,153.79311581438725,1.305400185222946,0.29054474622172144
10054.0,descending_neuron,DNpe013,DNpe013(PS168)_R,R,xn,,,1.482319102805901,1.3738075919170123,0.2784789853417534,3,151.78991736060337,196.69446250814013,0.820466769613088,0.42473917625339075
10056.0,descending_neuron,DNg100,DNg100_R,R,xl,,,2.3551408537372738,1.7316634974496716,0.12974554257983514,3,178.0524976542037,108.50248314735565,0.9211488010904314,0.31108435516861466
10059.0,descending_neuron,DNp20,DNp20_R,R,xn,,,26.479104,5.806396672804488,0.025792210825580815,3,92.68285495005117,134.8521500885517,1.6867526106913837,0.13489530331619787
10063.0,descending_neuron,DNp27,DNp27_R,R,xn,,,0.2832985737905374,0.600588833660088,0.20892673084339738,3,182.75646127476608,213.36555995509877,0.5424836665683521,0.7302008256500273
10065.0,descending_neuron,DNb05,DNb05_R,R,xn,,potentially sexually dimorphic,4.993536,2.5215010416929524,0.03741888965293229,3,187.36145825649015,122.94422024629355,1.1115464499648886,0.2791657321316492
10068.0,descending_neuron,DNp30,DNp30_R,R,xn,,,0.363904,0.6806885949443436,0.2573775048656421,3,174.14030658689606,252.3755028510407,0.5775269790431684,0.7385210127232099
