bodyId,superclass,type,instance,somaSide,subclass_DN_target,somaNeuromere_AN_origin,dimorphism,predicted_neurotransmitter,neurons_in_cell_type,neck_area_um2,neck_diameter_um,diameter_cv_across_slabs,n_slabs,output_synapses_total,output_synapses_VNC,output_synapses_brain,postsynaptic_partners,postsynaptic_partners_ge5,input_synapses_total,input_synapses_VNC,input_synapses_brain,presynaptic_partners,presynaptic_partners_ge5,path_neck_to_brain_arbor_um,path_neck_to_vnc_arbor_um,walk_end_brain,walk_end_vnc,model_velocity_m_per_s,model_arbor_to_arbor_delay_ms
12752,descending_neuron,DNge080,DNge080_L,L,xl,,,acetylcholine,2.0,0.444253907319574,0.7520915121861113,0.2312740050861437,3,13924,4208,9716,6627,226,4146,125,4021,504,130,189.9555710486686,169.0792765369862,branch,branch,0.60706246875523,0.5914298215830223
12753,descending_neuron,DNpe003,DNpe003(VES081)_R,R,xl,,,acetylcholine,4.0,0.307072,0.625280907657443,0.1359617889497803,3,6853,3514,3339,3656,108,2446,182,2264,476,100,178.4030709754532,170.7206567283425,branch,branch,0.5535229396801429,0.6307303684749529
12762,descending_neuron,DNp41,DNp41(hb1344695030)_L,L,xn,,,acetylcholine,4.0,0.46514353857292,0.7695707552194841,0.2864726743068994,3,6118,4529,1589,3700,95,1378,58,1320,265,76,175.0213685008847,161.2836998105696,branch,branch,0.6140762738109552,0.5476600915133003
12767,descending_neuron,DNb02,DNb02_L,L,ut,,,glutamate,4.0,0.4122266333820276,0.7244744653989136,0.2167066546747976,3,7718,4126,3592,3558,131,2319,79,2240,368,90,184.9350821012181,185.5811915966983,branch,branch,0.5958124604650926,0.6218672791916612
12770,ascending_neuron,AN12B004,AN12B004(12539)(hb2102275909)_L,L,BA,A1,,gaba,6.0,1.451372821803137,1.359391507577421,0.05692819710592115,3,10452,2686,7766,4511,238,2049,2012,37,429,120,304.9558350881273,198.184022757018,branch,branch,0.8161506225648157,0.6164791693278256
12771,descending_neuron,DNge135,DNge135_L,L,xn,MD,,gaba,2.0,0.1508538904791115,0.4382614959532174,0.2261601359651174,3,18633,4219,14414,7535,509,4628,111,4517,842,165,184.7832072047067,156.2945274945176,branch,branch,0.4634092500340023,0.7360183998791522
12772,ascending_neuron,AN08B018,AN08B018_e_L,L,BA,T3,,acetylcholine,14.0,1.078858262597573,1.172026024925856,0.3200314198894844,3,8103,581,7522,2237,123,3708,3502,206,639,140,358.5057054919099,207.4045068363569,branch,branch,0.7578210555359816,0.7467596844851682
12775,descending_neuron,DNg26,DNg26_R,R,xn,MX,,unclear,4.0,0.4646628284315953,0.7691729897283168,0.1764683637986741,3,2591,1634,957,1668,50,1015,237,778,334,50,325.715758857549,238.895961803842,branch,branch,0.6139175555128515,0.9196865533348829
12781,descending_neuron,DNge104,DNge104_R,R,xl,MX,,gaba,2.0,0.7945142589738495,1.005786743490617,0.04492167570141437,3,19367,14782,4585,9163,560,13487,9909,3578,4251,572,198.8808191983927,24.95938394633146,branch,end,0.7020224386089109,0.3188504965571665
12787,descending_neuron,DNge033,DNge033_R,R,nt,LB,,gaba,2.0,0.4397596432230697,0.7482776008475991,0.1582237848699195,3,8676,3877,4799,3697,85,4894,39,4855,455,125,150.8943821870674,135.9689930171675,branch,branch,0.605521283205903,0.4737461475927826
12788,descending_neuron,DNae004,DNae004(DNa05)_R,R,ut,,,acetylcholine,2.0,2.177997257054024,1.665266415924461,0.03220306565379589,3,7440,4692,2748,3716,171,3673,423,3250,460,114,183.5243089710652,172.596243499719,branch,branch,0.9033164140006457,0.3942367778900225
