root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um
720575941646678984,ascending_neuron,ANXXX002,ANXXX002,left,isomorphic,3,0.49759558288047057,0.7959638015694924
720575941646923208,ascending_neuron,AN01A014,AN01A014,left,isomorphic,3,0.12307994338564432,0.3958664561217171
720575941647038664,descending_neuron,DNp27,auto:DNp27,left,isomorphic,3,0.14264970497194637,0.4261774811215232
720575941649024021,ascending_neuron,AN07B069,auto:AN07B069_b,right,isomorphic,3,0.06301923548753272,0.28326415710729125
720575941649039637,ascending_neuron,AN07B052,AN07B052,right,isomorphic,3,0.2552342428496288,0.5700651990489205
720575941649412885,sensory_ascending,SAch01,auto:LgAG3,right,isomorphic,3,0.06805842539682365,0.29437166739963916
720575941649649649,sensory_ascending,SApp09,SApp09,left,isomorphic,3,0.25441488941214724,0.5691494513473321
720575941649765141,sensory_ascending,SAch01,auto:LgAG1,right,dimorphic,3,0.04877950612947805,0.249214759147011
720575941649828629,ascending_neuron,AN19B063,auto:AN19B079,right,isomorphic,3,0.05942705480442295,0.27507249263446
720575941649901297,ascending_neuron,AN12B019,AN12B019,left,isomorphic,3,0.1862644030557885,0.48698994214164115
720575941649909233,ascending_neuron,AN16B078,auto:AN16B078_a,right,isomorphic,3,0.11910301414141176,0.38941837078134456
720575941649932785,ascending_neuron,AN07B095,auto:AN07B101_b,left,isomorphic,3,0.0690243723729049,0.2964533023187763
720575941649976049,descending_neuron,DNge019,DNge019,right,isomorphic,3,0.11078840469135405,0.3755797890610657
720575941650178289,descending_neuron,DNg45,DNg45,right,isomorphic,3,0.40307672516830545,0.7163890186530175
720575941650394901,sensory_ascending,SApp22,auto:SApp09,right,isomorphic,3,0.35515890361508157,0.6724599324476559
720575941650514193,ascending_neuron,AN07B071,auto:AN07B071_d,right,isomorphic,3,0.04291493818462889,0.23375413655491648
720575941650789649,ascending_neuron,AN19B009,AN19B009,left,isomorphic,3,0.11027358087679623,0.3747061300698031
720575941650852369,sensory_ascending,SApp01,auto:SApp06,right,isomorphic,3,0.08772920277882025,0.334215933501208
720575941651139349,descending_neuron,DNg92_a,auto:DNg02_a,left,isomorphic,3,0.07965553899130458,0.3184659828002398
720575941651316245,ascending_neuron,AN07B091,AN07B091,left,isomorphic,3,0.03004449795046325,0.19558589645535374
720575941651755797,ascending_neuron,ANXXX202_b,auto:ANXXX202,right,isomorphic,3,0.07420645152203906,0.30738020195245647
720575941651827989,ascending_neuron,AN10B022,AN10B022,right,isomorphic,3,0.1850254110755878,0.485367561918097
720575941651866901,descending_neuron,DNge118,auto:DNge108,left,isomorphic,3,0.11320631488095283,0.37965610336220046
720575941651981077,ascending_neuron,ANXXX986,,right,female-specific,3,0.09466690391564861,0.3471795582159869
720575941652078869,descending_neuron,DNg44,DNg44,right,isomorphic,3,0.277249196847468,0.5941419368907229
720575941652085745,descending_neuron,DNae007,DNae007,left,isomorphic,3,0.16731696061590098,0.4615566820673934
720575941652156657,descending_neuron,DNp41,DNp41,left,isomorphic,3,0.1817127384202115,0.481002956683979
